v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",,,
ham,Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,,,
ham,Yo! Howz u? girls never rang after india. L,,,
ham,Nvm it's ok...,,,
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",,,
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
ham,No shoot me. I'm in the docs waiting room. :/,,,
ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,,,
ham,And do you have any one that can teach me how to ship cars.,,,
ham,I will see in half an hour,,,
ham,Did either of you have any idea's? Do you know of anyplaces doing something?,,,
ham,Ok enjoy . R u there in home.,,,
ham,Havent.,,,
ham,Yep. I do like the pink furniture tho.,,,
spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",,,
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,,,
ham,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",,,
ham,"Sorry, I'll call later",,,
ham,Which channel:-):-):):-).,,,
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",,,
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,,,
ham,Your right! I'll make the appointment right now.,,,
ham,Buy one egg for me da..please:),,,
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",,,
ham,"That day Ì_ say Ì_ cut ur hair at paragon, is it called hair sense? Do Ì_ noe how much is a hair cut? ",,,
ham,Its sunny in california. The weather's just cool,,,
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",,,
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?,,,
ham,Hey come online! Use msn... We are all there,,,
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",,,
ham,Lol now I'm after that hot air balloon!,,,
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",,,
ham,Ok set let u noe e details later...,,,
ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,,,
ham,I like cheap! But iÛ÷m happy to splash out on the wine if it makes you feel better..,,,
ham,Wife.how she knew the time of murder exactly,,,
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",,,
ham,.Please charge my mobile when you get up in morning.,,,
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,,,
ham,I'm at home n ready...,,,
ham,I know you are serving. I mean what are you doing now.,,,
ham, &lt;#&gt;  in mca. But not conform.,,,
ham,Can not use foreign stamps in this country. Good lecture .,,,
ham,In which place do you want da.,,,
ham,Okie... Thanx...,,,
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",,,
ham,Just nw i came to hme da..,,,
ham,Nice.nice.how is it working?,,,
ham,Maybe i could get book out tomo then return it immediately ..? Or something.,,,
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,,,
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,,,
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?,,,
ham,Actually getting ready to leave the house.,,,
ham,Waaaat?? Lololo ok next time then!,,,
spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,,,
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",,,
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,,,
ham,Raviyog Peripherals bhayandar east,,,
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,,,
ham,Finally the match heading towards draw as your prediction.,,,
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,,,
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,,,
ham,Thats cool. i liked your photos. You are very sexy!,,,
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",,,
ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,,,
ham,"Sorry, I'll call later",,,
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,,,
ham,As in i want custom officer discount oh.,,,
ham,Play w computer? Aiyah i tok 2 u lor?,,,
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p ",,,
ham,Please attend the phone:),,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,,,
ham,Just taste fish curry :-P,,,
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,,,
ham,And several to you sir.,,,
ham,Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,,,
ham,Not course. Only maths one day one chapter with in one month we can finish.,,,
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",,,
ham,ÌÏ wait 4 me in sch i finish ard 5..,,,
ham,Oh great. I.ll disturb him more so that we can talk.,,,
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,,,
ham,You are not bothering me but you have to trust my answers. Pls.,,,
ham,"Its good, we'll find a way",,,
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",,,
ham,Gd luck 4 ur exams :-),,,
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,,,
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",,,
ham,"Lets use it next week, princess :)",,,
ham,Good night my dear.. Sleepwell&amp;Take care,,,
ham,"Cool, what time you think you can get here?",,,
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
ham,Are you going to wipro interview today?,,,
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",,,
ham,I dont have that much image in class.,,,
ham,I will be outside office take all from there,,,
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,,,
ham,Going to join tomorrow.,,,
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,,,
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",,,
ham,Yup next stop.,,,
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,,,
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,,,
ham,"Haha awesome, I might need to take you up on that, what you doin tonight?",,,
ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,,,
ham,So dont use hook up any how,,,
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie,,,
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
ham,"Awesome, think we can get an 8th at usf some time tonight?",,,
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,,
ham,K...k:)why cant you come here and search job:),,,
ham,Serious? What like proper tongued her,,,
ham,Many more happy returns of the day. I wish you happy birthday.,,,
spam,u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),,,
spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net costå£3.75max ,,,
ham,Tell where you reached,,,
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
ham,"\I;m reaching in another 2 stops.\""""",,,
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,,,
ham,What's a feathery bowa? Is that something guys have that I don't know about?,,,
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up",,,
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone,,,
ham,Now only i reached home. . . I am very tired now. . I will come tomorro,,,
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
ham,How come i din c Ì_... Yup i cut my hair...,,,
ham,Do you work all this week ?,,,
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",,,
ham,Yes baby! We can study all the positions of the kama sutra ;),,,
ham,Ok. I.ll do you right later.,,,
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,,,
ham,Now am free call me pa.,,,
ham,Wait . I will msg after  &lt;#&gt;  min.,,,
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",,,
ham,What time is ur flight tmr?,,,
spam,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,,,
ham,I'm glad. You are following your dreams.,,,
ham,"Probably not, I'm almost out of gas and I get some cash tomorrow",,,
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.,,,
ham,She's good. How are you. Where r u working now,,,
ham,I'm leaving my house now...,,,
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,,,
ham,Yup song bro. No creative. Neva test quality. He said check review online.,,,
ham,K k pa Had your lunch aha.,,,
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),,,
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,,,
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,,,
ham,Depends on where u going lor.,,,
ham,U wan 2 haf lunch i'm in da canteen now.,,,
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,,,
ham,Then u go back urself lor...,,,
ham,Hey what's up charles sorry about the late reply.,,,
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
ham,Already one guy loving you:-.,,,
ham,Unni thank you dear for the recharge..Rakhesh,,,
ham,If he started searching he will get job in few days.he have great potential and talent.,,,
ham,Can i get your opinion on something first?,,,
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,,,
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",,,
ham,Okay same with me. Well thanks for the clarification,,,
ham,Hey what happen de. Are you alright.,,,
ham,I told that am coming on wednesday.,,,
ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,,,
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,,,
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,,,
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",,,
ham,You'll never believe this but i have actually got off at taunton. Wow,,,
ham,Are you this much buzy,,,
ham,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",,,
ham,This is all just creepy and crazy to me.,,,
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,,,
ham,Can you use foreign stamps for whatever you send them off for? ,,,
ham,Hahaha..use your brain dear,,,
ham,1's reach home call me.,,,
ham,What time should I tell my friend to be around?,,,
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",,,
ham,Have you always been saying welp?,,,
ham,Captain is in our room:),,,
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...,,,
ham,My sister going to earn more than me da.,,,
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,,,
ham,No way I'm going back there!,,,
ham,YO YO YO BYATCH WHASSUP?,,,
ham,Later i guess. I needa do mcat study too.,,,
ham,K come to nordstrom when you're done,,,
ham,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,,,
ham,I dont know exactly could you ask chechi.,,,
ham,Good morning princess! How are you?,,,
ham,Those were my exact intentions,,,
ham,Just come home. I don't want u to be miserable,,,
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,,,
ham,I will treasure every moment we spend together...,,,
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",,,
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",,,
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",,,
ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,,,
ham,"Alright we're hooked up, where you guys at",,,
ham,Hey i've booked the 2 lessons on sun liao...,,,
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe",,,
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",,,
ham,"Haha awesome, omw back now then",,,
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",,,
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)",,,
ham,"sure, but make sure he knows we ain't smokin yet",,,
ham,Umma my life and vava umma love you lot dear,,,
ham,No current and food here. I am alone also,,,
ham,Yeah right! I'll bring my tape measure fri!,,,
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
spam,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890å£1.50 per msg,,,
spam,"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",,,
ham,Can Ì_ call me at 10:10 to make sure dat i've woken up...,,,
ham,Sorry da thangam.it's my mistake.,,,
ham,I didn't get the second half of that message,,,
ham,Oic... Then better quickly go bathe n settle down...,,,
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,,,
ham,Omg it could snow here tonite!,,,
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,,,
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,
ham,No plm i will come da. On the way.,,,
ham,Your bill at 3 is å£33.65 so thats not bad!,,,
ham,\ER," ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx\""""",,
ham,Da is good good player.why he is unsold.,,,
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),,,
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",,,
ham,I've told you everything will stop. Just dont let her get dehydrated.,,,
ham,It means u could not keep ur words.,,,
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",,,
ham,K..k:)where are you?how did you performed?,,,
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,,,
ham,K.k:)when are you going?,,,
ham,"Cool, I'll text you when I'm on the way",,,
ham,Oh god i am happy to see your message after 3 days,,,
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,,,
ham,K...k...when will you give treat?,,,
ham,Good evening! this is roger. How are you?,,,
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,,,
ham,That was random saw my old roomate on campus. He graduated,,,
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,,,
ham,You know what hook up means right?,,,
ham,Ok but tell me half an hr b4 u come i need 2 prepare.,,,
ham,If u sending her home first it's ok lor. I'm not ready yet.,,,
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,,
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
ham,Cps is causing the outages to conserve energy.,,,
ham,I'm now but have to wait till 2 for the bus to pick me.,,,
ham,Dont worry. I guess he's busy.,,,
ham,Have a good evening! Ttyl,,,
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,,,
ham,Neva mind it's ok..,,,
ham,What u talking bout early morning? It's almost noon where your at!,,,
ham,I WILL CAL YOU SIR. In meeting,,,
ham,"What part of \don't initiate\"" don't you understand""",,,
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,,,
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.,,,
ham,"Oh yes, why is it like torture watching england?",,,
ham,All day working day:)except saturday and sunday..,,,
spam,FROM 88066 LOST å£12 HELP,,,
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,,,
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,,,
ham,Hey what are you doing. Y no reply pa..,,,
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
ham,No no:)this is kallis home ground.amla home town is durban:),,,
ham,Yo guess what I just dropped,,,
ham,Lmao you know me so well...,,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
